Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.0,9.0,1.0,6,0.667,6.0,8356,2523,2034,847,4728,1
5.68,11.04,3.57,84,0.75,2.25,16156,5828,6444,2797,18462,1
6.25,11.0,5.25,12,0.568,1.19,38511,12800,13602,5889,39514,2
5.5,11.75,5.75,12,0.4679999999999999,0.96,270,218,24,70,179,3
4.18,7.73,2.55,33,0.541,1.64,21580,6858,6226,3260,18821,3
4.5,8.25,3.5,12,0.545,4.0,31617,9619,8627,3499,21539,1
5.0,13.0,4.0,3,0.474,1.29,41279,12572,12807,6769,25815,3
4.67,6.67,2.33,9,0.7,2.0,19776,7354,7278,3168,16733,1
7.75,11.75,3.0,12,0.66,2.58,14233,5710,5370,2491,13403,3
3.14,5.0,1.86,21,0.629,1.69,14830,5535,5023,2815,9496,2
5.85,9.55,2.4,60,0.613,2.44,24243,11420,10907,5355,20466,3
6.0,8.0,5.5,6,0.75,1.09,11645,3599,3599,1921,10100,1
5.33,11.33,3.33,9,0.471,1.6,39356,14107,12790,6567,28025,1
5.2,10.6,6.2,15,0.667,0.67,23808,9386,8563,5648,22960,2
4.95,9.13,2.92,117,0.542,1.69,61298,19352,18835,10788,70639,3
6.88,11.62,3.88,24,0.591,1.77,21915,6548,5935,3776,16413,2
4.75,9.25,4.5,12,0.514,1.06,44595,15195,14469,8176,33804,2
6.1,9.7,3.7,30,0.629,1.65,15201,5328,5518,2885,14074,1
5.46,9.33,4.21,72,0.585,1.3,14627,4544,5189,1841,15023,2
6.0,9.32,3.74,57,0.644,1.61,51913,11524,8710,3816,35191,2
5.42,11.02,3.49,129,0.492,1.55,24243,7287,8117,3650,24974,3
3.67,7.2,4.2,45,0.509,0.87,34199,9609,9303,4136,36605,3
4.38,9.25,4.38,24,0.473,1.0,8339,3442,3722,1631,8546,1
6.5,10.0,2.0,6,0.65,3.25,6082,1970,2234,889,5628,1
